,Județul Reședința Populația[1] Densitate [loc/km²] Suprafața Indicator auto județ Prefix telefonic Telekom/RCS-RDS Început cod poștal[2] Stemă
0,Alba Alba Iulia 342.376 loc. 55 6.242 km² AB 258/358 51
1,Arad Arad 430.629 loc. 56 7.754 km² AR 257/357 31
2,Argeș Pitești 612.431 loc. 90 6.826 km² AG 248/348 11
3,Bacău Bacău 616.168 loc. 93 6.621 km² BC 234/334 60
4,Bihor Oradea 575.398 loc. 76 7.544 km² BH 259/359 41
5,Bistrița-Năsăud Bistrița 286.225 loc. 53 5.355 km² BN 263/363 42
6,Botoșani Botoșani 412.626 loc. 83 4.986 km² BT 231/331 71
7,Brașov Brașov 549.217 loc. 102 5.363 km² BV 268/368 50
8,Brăila Brăila 321.212 loc. 67 4.766 km² BR 239/339 81
9,- București 1.883.425 loc. 8261 228 km² B 021/031 01 - 06
10,Buzău Buzău 451.069 loc. 74 6.103 km² BZ 238/338 12
11,Caraș-Severin Reșița 295.579 loc. 35 8.520 km² CS 255/355 32
12,Călărași Călărași 306.691 loc. 60 5.088 km² CL 242/342 91
13,Cluj Cluj-Napoca 691.106 loc. 104 6.674 km² CJ 264/364 40
14,Constanța Constanța 684.082 loc. 97 7.071 km² CT 241/341 90
15,Covasna Sfântu Gheorghe 206.261 loc. 57 3.710 km² CV 267/367 52
16,Dâmbovița Târgoviște 518.745 loc. 128 4.054 km² DB 245/345 13
17,Dolj Craiova 660.544 loc. 89 7.414 km² DJ 251/351 20
18,Galați Galați 536.167 loc. 120 4.466 km² GL 236/336 80
19,Giurgiu Giurgiu 281.422 loc. 80 3.526 km² GR 246/346 08
20,Gorj Târgu Jiu 341.594 loc. 61 5.602 km² GJ 253/353 21
21,Harghita Miercurea Ciuc 304.969 loc. 47 6.639 km² HR 266/366 53
22,Hunedoara Deva 418.565 loc. 59 7.063 km² HD 254/354 33
23,Ialomița Slobozia 274.148 loc. 62 4.453 km² IL 243/343 92
24,Iași Iași 772.348 loc. 141 5.476 km² IS 232/332 70
25,Ilfov București 388.738 loc. 246 1.583 km² IF 279/379 07
26,Maramureș Baia Mare 478.659 loc. 76 6.304 km² MM 262/362 43
27,Mehedinți Drobeta-Turnu Severin 265.390 loc. 54 4.933 km² MH 252/352 22
28,Mureș Târgu Mureș 550.846 loc. 82 6.714 km² MS 265/365 54
29,Neamț Piatra Neamț 470.766 loc. 80 5.896 km² NT 233/333 61
30,Olt Slatina 436.400 loc. 80 5.498 km² OT 249/349 23
31,Prahova Ploiești 762.886 loc. 162 4.716 km² PH 244/344 10
32,Satu Mare Satu Mare 344.360 loc. 78 4.418 km² SM 261/361 44
33,Sălaj Zalău 224.384 loc. 58 3.864 km² SJ 260/360 45
34,Sibiu Sibiu 397.322 loc. 73 5.432 km² SB 269/369 55
35,Suceava Suceava 634.810 loc. 74 8.553 km² SV 230/330 72
36,Teleorman Alexandria 380.123 loc. 65 5.790 km² TR 247/347 17
37,Timiș Timișoara 683.540 loc. 78 8.697 km² TM 256/356 30
38,Tulcea Tulcea 213.083 loc. 25 8.499 km² TL 240/340 82
39,Vaslui Vaslui 395.499 loc. 74 5.318 km² VS 235/335 73
40,Vâlcea Râmnicu Vâlcea 371.714 loc. 64 5.765 km² VL 250/350 24
41,Vrancea Focșani 340.310 loc. 70 4.857 km² VN 237/337 62
