Nr. crt.,Județ,Număr de cazuri confirmate(total),Număr de cazuri nou confirmate,Incidența  înregistrată la 14 zile
1.,Alba,13567,35,"1,53"
2.,Arad,15478,47,"1,25"
3.,Argeș,20049,33,"0,78"
4.,Bacău,18399,67,"1,32"
5.,Bihor,19760,65,"1,55"
6.,Bistrița-Năsăud,8109,20,"1,06"
7.,Botoșani,9583,71,"1,54"
8.,Brașov,28196,132,"2,11"
9.,Brăila,9213,16,"1,06"
10.,Buzău,8888,14,"0,53"
11.,Caraș-Severin,7514,9,"1,58"
12.,Călărași,7017,15,"0,86"
13.,Cluj,34786,76,"2,79"
14.,Constanța,29485,76,"1,77"
15.,Covasna,5475,11,"0,72"
16.,Dâmbovița,16315,59,"1,13"
17.,Dolj,17117,63,"1,25"
18.,Galați,18502,92,"1,56"
19.,Giurgiu,7201,25,"1,13"
20.,Gorj,5614,31,"0,75"
21.,Harghita,5729,17,"0,62"
22.,Hunedoara,13249,76,"1,34"
23.,Ialomița,7517,20,"0,91"
24.,Iași,30751,109,"0,71"
25.,Ilfov,28016,78,"2,83"
26.,Maramureș,13049,133,"2,55"
27.,Mehedinți,5494,19,"0,81"
28.,Mureș,16420,43,"0,98"
29.,Neamț,12435,55,"1,24"
30.,Olt,10421,30,"0,53"
31.,Prahova,25722,71,"0,9"
32.,Satu Mare,8157,59,"1,73"
33.,Sălaj,7011,29,"1,87"
34.,Sibiu,18294,28,"1,2"
35.,Suceava,18315,112,"1,82"
36.,Teleorman,8797,66,"1,19"
37.,Timiș,31386,174,"3,42"
38.,Tulcea,6003,12,"0,93"
39.,Vaslui,11791,32,"1,11"
40.,Vâlcea,10899,49,"1,16"
41.,Vrancea,7661,21,"0,6"
42.,Mun. București,116242,310,"2,24"
43.,Cazuri noi nealocate pe județe,1811*,377,
 TOTAL,715.438,2.877,,
